name, url, language, country
FSFE, https://media.fsfe.org/feeds/videos.xml?accountId=4, de-DE, Germany
denshi.live, https://denshi.live/feeds/videos.xml, en-US, United States
FSFE, https://media.fsfe.org/feeds/videos.xml?accountId=4, en-US, Germany
Luke's Videos, https://videos.lukesmith.xyz/feeds/videos.xml, en-US, United States
Framasoft, https://framatube.org/feeds/videos.xml?accountId=3&sort=-publishedAt, fr-FR, France
Films By Kris, https://filmsbykris.com/rss.xml, en-US, United States
Simplified Privacy, https://video.simplifiedprivacy.com/feed/, en-US, Cambodia
Blender Video, https://video.blender.org/feeds/videos.xml, en-US, United States
Framatube, https://framatube.org/feeds/videos.xml, fr-FR, France
RTP TECH TIPS, https://tilvids.com/feeds/videos.xml?accountId=178762, en-US, Worldwide
(RTP) Privacy & Tech Tips, https://tube.tchncs.de/feeds/videos.xml?videoChannelId=2263, en-US, Worldwide
Redecentralize Blog, https://redecentralize.org/blog/feed.rss, en-US, United States
